"year","season","pixel_id","X","Y"
11,"Spring",5,450,1450
4,"Autumn",5,450,1450
7,"Autumn",5,450,1450
13,"Spring",6,550,1450
15,"Autumn",6,550,1450
5,"Autumn",6,550,1450
8,"Spring",6,550,1450
15,"Spring",33,250,1350
14,"Spring",35,450,1350
13,"Spring",35,450,1350
2,"Autumn",35,450,1350
15,"Spring",36,550,1350
13,"Autumn",36,550,1350
1,"Spring",36,550,1350
4,"Spring",62,150,1250
13,"Spring",63,250,1250
8,"Spring",64,350,1250
2,"Spring",65,450,1250
11,"Spring",66,550,1250
7,"Autumn",70,950,1250
5,"Spring",71,1050,1250
4,"Spring",91,50,1150
4,"Autumn",91,50,1150
1,"Spring",91,50,1150
7,"Spring",91,50,1150
15,"Spring",92,150,1150
11,"Spring",93,250,1150
11,"Spring",94,350,1150
13,"Spring",94,350,1150
4,"Autumn",94,350,1150
2,"Autumn",94,350,1150
9,"Spring",95,450,1150
4,"Spring",95,450,1150
9,"Spring",96,550,1150
2,"Autumn",99,850,1150
5,"Autumn",101,1050,1150
11,"Spring",121,50,1050
15,"Spring",122,150,1050
10,"Spring",122,150,1050
2,"Spring",122,150,1050
3,"Autumn",122,150,1050
11,"Spring",122,150,1050
8,"Autumn",123,250,1050
14,"Spring",125,450,1050
9,"Autumn",127,650,1050
3,"Spring",128,750,1050
1,"Spring",129,850,1050
3,"Spring",129,850,1050
3,"Autumn",129,850,1050
8,"Spring",129,850,1050
2,"Autumn",130,950,1050
11,"Spring",151,50,950
11,"Autumn",151,50,950
5,"Spring",151,50,950
6,"Spring",151,50,950
1,"Spring",151,50,950
1,"Spring",154,350,950
10,"Spring",154,350,950
8,"Autumn",154,350,950
10,"Spring",155,450,950
7,"Autumn",156,550,950
7,"Spring",157,650,950
8,"Spring",158,750,950
3,"Spring",158,750,950
10,"Spring",182,150,850
13,"Spring",183,250,850
1,"Spring",183,250,850
5,"Spring",184,350,850
7,"Spring",184,350,850
10,"Spring",185,450,850
7,"Autumn",185,450,850
5,"Spring",186,550,850
8,"Spring",186,550,850
13,"Spring",187,650,850
7,"Spring",188,750,850
8,"Spring",188,750,850
8,"Autumn",188,750,850
7,"Autumn",189,850,850
7,"Spring",189,850,850
5,"Autumn",216,550,750
13,"Spring",216,550,750
2,"Autumn",217,650,750
4,"Spring",231,2050,750
3,"Autumn",232,2150,750
11,"Spring",246,550,650
15,"Spring",247,650,650
7,"Spring",247,650,650
2,"Spring",261,2050,650
7,"Autumn",263,2250,650
9,"Spring",264,2350,650
4,"Autumn",287,1650,550
3,"Autumn",288,1750,550
5,"Autumn",289,1850,550
10,"Autumn",289,1850,550
11,"Spring",290,1950,550
12,"Spring",291,2050,550
7,"Autumn",291,2050,550
8,"Spring",292,2150,550
4,"Spring",293,2250,550
10,"Spring",294,2350,550
11,"Autumn",316,1550,450
7,"Autumn",317,1650,450
15,"Spring",317,1650,450
11,"Autumn",318,1750,450
15,"Spring",318,1750,450
6,"Spring",318,1750,450
6,"Spring",319,1850,450
8,"Spring",319,1850,450
7,"Autumn",321,2050,450
2,"Spring",322,2150,450
1,"Spring",322,2150,450
12,"Autumn",323,2250,450
8,"Autumn",323,2250,450
10,"Autumn",323,2250,450
1,"Autumn",324,2350,450
13,"Spring",324,2350,450
8,"Spring",324,2350,450
15,"Spring",346,1550,350
8,"Spring",347,1650,350
13,"Autumn",347,1650,350
10,"Autumn",348,1750,350
11,"Spring",348,1750,350
1,"Spring",349,1850,350
4,"Autumn",350,1950,350
11,"Autumn",350,1950,350
4,"Spring",350,1950,350
9,"Spring",350,1950,350
1,"Autumn",353,2250,350
4,"Spring",353,2250,350
12,"Autumn",354,2350,350
8,"Spring",354,2350,350
7,"Autumn",377,1650,250
9,"Spring",377,1650,250
15,"Spring",378,1750,250
14,"Spring",378,1750,250
8,"Autumn",380,1950,250
9,"Autumn",380,1950,250
1,"Autumn",381,2050,250
5,"Autumn",381,2050,250
13,"Autumn",381,2050,250
14,"Spring",382,2150,250
9,"Autumn",382,2150,250
10,"Spring",382,2150,250
1,"Spring",382,2150,250
10,"Autumn",383,2250,250
3,"Spring",384,2350,250
9,"Spring",410,1950,150
12,"Autumn",411,2050,150
15,"Autumn",412,2150,150
10,"Autumn",412,2150,150
